Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.0,Mon Jan 29 06:00:14 +0000 2018,1.0,0.0,0.0,"When internet trolls told this record-breaking teen explorer to 'make a sandwich,' she did just that: ""I made you a… https://t.co/rZ6O8R4c8G",1,@CNN
0.0,Mon Jan 29 05:43:05 +0000 2018,1.0,0.0,0.0,"Rapper Logic gave an impassioned speech about ethnicity, gender equality and immigration at the #Grammys. Read the… https://t.co/idqmhcucRK",2,@CNN
0.1027,Mon Jan 29 05:33:07 +0000 2018,0.743,0.119,0.139,"In 2016, Kendrick Lamar electrified the #Grammys and set Twitter on fire with a powerful, political performance.… https://t.co/w4OavKc4W1",3,@CNN
0.0772,Mon Jan 29 05:30:13 +0000 2018,0.885,0.0,0.115,Carnage in Kabul adds to US challenges in Afghanistan https://t.co/kKWuA3cl8P https://t.co/3xVvOrhtpS,4,@CNN
0.0,Mon Jan 29 05:23:03 +0000 2018,1.0,0.0,0.0,"Singer Camila Cabello offered a tribute to Dreamers at the #Grammys: ""This country was built by dreamers, for dream… https://t.co/DEHm78PRPq",5,@CNN
-0.3182,Mon Jan 29 05:16:34 +0000 2018,0.796,0.204,0.0,Elon Musk's Boring Company is now selling flamethrowers https://t.co/zB4zmDHtni https://t.co/uc65vpm22f,6,@CNN
0.0,Mon Jan 29 05:10:28 +0000 2018,1.0,0.0,0.0,A Wynn casino and hotel project set to open in Boston in 2019 has drawn the scrutiny of regulators following a Wall… https://t.co/ejq6iLB9KI,7,@CNN
0.6597,Mon Jan 29 05:01:00 +0000 2018,0.748,0.0,0.252,This high school basketball player from a Chicago suburb scored this unbelievable winning shot from more than halfw… https://t.co/7DbY8L79lp,8,@CNN
0.0,Mon Jan 29 04:47:53 +0000 2018,1.0,0.0,0.0,"Before introducing Kesha's knockout performance at the #Grammys, Janelle Monae delivered an empowering message of h… https://t.co/UzLRRzodLs",9,@CNN
0.0,Mon Jan 29 04:37:57 +0000 2018,1.0,0.0,0.0,"The Trump administration is considering nationalizing the 5G mobile network, Axios reports https://t.co/yREu0eC8ZK https://t.co/j8f2qHqA8E",10,@CNN
-0.5574,Mon Jan 29 04:30:17 +0000 2018,0.833,0.167,0.0,"Ikea founder Ingvar Kamprad has died at his home in Sweden at age 91, the company says https://t.co/g6AnDA5Y0D https://t.co/6fs5YPNFMb",11,@CNN
0.0,Mon Jan 29 04:18:16 +0000 2018,1.0,0.0,0.0,"You can find this fish-shaped building in Hyderabad, India. Here's the story behind its design… https://t.co/vz2uOWePvS",12,@CNN
0.0,Mon Jan 29 04:12:03 +0000 2018,1.0,0.0,0.0,"US Ambassador Nikki Haley tweets her disapproval over a #Grammys skit involving Hillary Clinton ""auditioning"" to pe… https://t.co/CwDEGy0b4E",13,@CNN
0.5719,Mon Jan 29 04:02:23 +0000 2018,0.778,0.0,0.222,"""24K Magic"" by Bruno Mars wins for Album of the Year. https://t.co/to4VKAIMHw #GRAMMYs https://t.co/NVEp6IAzIg",14,@CNN
0.7351,Mon Jan 29 04:00:24 +0000 2018,0.581,0.0,0.419,President Trump shared a vision of economic progress in Davos https://t.co/L4Ermi7GNF (via @CNNOpinion) https://t.co/wfhOL0cljL,15,@CNN
0.296,Mon Jan 29 03:47:41 +0000 2018,0.845,0.0,0.155,RT @CNNent: Kesha's #Grammys performance answers her prayers with a show of solidarity. https://t.co/zFlKnXWsL0,16,@CNN
-0.7269,Mon Jan 29 03:46:06 +0000 2018,0.711,0.289,0.0,"Hillary Clinton, Cher, Snoop and others read 'Fire and Fury' excerpts at the 2018 #Grammys https://t.co/ZaN3HbUvnl https://t.co/yZpjyMwW74",17,@CNN
0.5719,Mon Jan 29 03:35:25 +0000 2018,0.778,0.0,0.222,"""24K Magic"" by Bruno Mars wins for Record of the Year. https://t.co/to4VKAIMHw #GRAMMYs https://t.co/7tgwGGIz2K",18,@CNN
0.0,Mon Jan 29 03:30:17 +0000 2018,1.0,0.0,0.0,America's oil exports are booming — and lifting prices https://t.co/r22UbpDXuN https://t.co/YmZCvsaTSO,19,@CNN
0.5719,Mon Jan 29 03:00:21 +0000 2018,0.619,0.0,0.381,Carrie Fisher wins Grammy posthumously https://t.co/atoLhy67qm https://t.co/lE3ZFWREyc,20,@CNN
0.0,Mon Jan 29 06:00:14 +0000 2018,1.0,0.0,0.0,"When internet trolls told this record-breaking teen explorer to 'make a sandwich,' she did just that: ""I made you a… https://t.co/rZ6O8R4c8G",21,@CNN
0.0,Mon Jan 29 05:43:05 +0000 2018,1.0,0.0,0.0,"Rapper Logic gave an impassioned speech about ethnicity, gender equality and immigration at the #Grammys. Read the… https://t.co/idqmhcucRK",22,@CNN
0.1027,Mon Jan 29 05:33:07 +0000 2018,0.743,0.119,0.139,"In 2016, Kendrick Lamar electrified the #Grammys and set Twitter on fire with a powerful, political performance.… https://t.co/w4OavKc4W1",23,@CNN
0.0772,Mon Jan 29 05:30:13 +0000 2018,0.885,0.0,0.115,Carnage in Kabul adds to US challenges in Afghanistan https://t.co/kKWuA3cl8P https://t.co/3xVvOrhtpS,24,@CNN
0.0,Mon Jan 29 05:23:03 +0000 2018,1.0,0.0,0.0,"Singer Camila Cabello offered a tribute to Dreamers at the #Grammys: ""This country was built by dreamers, for dream… https://t.co/DEHm78PRPq",25,@CNN
