Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.7003,Mon Jan 29 06:05:00 +0000 2018,0.734,0.0,0.266,"U.S. Ambassador to the United Nations @nikkihaley slammed a pre-taped segment for the 60th Annual Grammy Awards, wh… https://t.co/eWHHtDvCGC",1,@FoxNews
0.0,Mon Jan 29 06:00:00 +0000 2018,0.574,0.213,0.213,How to protect your dog from the flu https://t.co/gwWPLQIN2E,2,@FoxNews
0.7003,Mon Jan 29 05:55:00 +0000 2018,0.52,0.164,0.316,Grammy winner Chris Stapleton talks Tom Petty tribute: 'We lost a lot of great artists this year' https://t.co/B5aMT0khkq,3,@FoxNews
0.0,Mon Jan 29 05:50:06 +0000 2018,1.0,0.0,0.0,".@Varneyco: ""Anybody who pays tax, federal income tax, their paychecks go up next week."" https://t.co/EDnXivg3cK",4,@FoxNews
0.0,Mon Jan 29 05:45:03 +0000 2018,1.0,0.0,0.0,".@hogangidley45 on immigration reform: ""Democrats had the House, they had the Senate and they had the White House u… https://t.co/bnIyYPfuUs",5,@FoxNews
-0.296,Mon Jan 29 05:40:02 +0000 2018,0.891,0.109,0.0,".@jasoninthehouse on immigration reform: ""There is no way that you can give the pathway to citizenship to Dreamers… https://t.co/eSfhiuYbMe",6,@FoxNews
0.3071,Mon Jan 29 05:35:03 +0000 2018,0.883,0.0,0.117,"""We come in peace, but we mean business."" Janelle Monae delivered this impassioned introduction to a performance of… https://t.co/pwKjWWiAys",7,@FoxNews
0.0,Mon Jan 29 05:30:06 +0000 2018,1.0,0.0,0.0,".@DiamondandSilk: ""Liberals - they're trying to use their influence and their power to... sway people to continue t… https://t.co/EDCG2QodXQ",8,@FoxNews
0.296,Mon Jan 29 05:25:05 +0000 2018,0.896,0.0,0.104,".@reba wore a white rose at the #GRAMMYs to show solidarity with the #MeToo movement and Time's Up, initiatives tha… https://t.co/X0m1fpw6SL",9,@FoxNews
0.0,Mon Jan 29 05:20:04 +0000 2018,1.0,0.0,0.0,".@AlexandraCSmith on FISA memo: ""If there has been misconduct, the American people should be aware of that to make… https://t.co/EAOCssYdBw",10,@FoxNews
0.0,Mon Jan 29 05:15:05 +0000 2018,1.0,0.0,0.0,".@CharlesHurt: ""This is absolutely the most centrist immigration plan we've... seen in 30+ years."" https://t.co/lNVQ9gxqkX",11,@FoxNews
-0.4019,Mon Jan 29 05:10:00 +0000 2018,0.764,0.236,0.0,"Country stars pay tribute to Las Vegas, Manchester shooting victims at #GRAMMYs 2018 https://t.co/IaDdAnVaTf",12,@FoxNews
0.0,Mon Jan 29 05:05:05 +0000 2018,1.0,0.0,0.0,".@madisongesiotto on @POTUS' trip to Davos: ""He's really kind of capitalized on the idea of running this government… https://t.co/yB5PB8mYvc",13,@FoxNews
0.0,Mon Jan 29 05:00:01 +0000 2018,1.0,0.0,0.0,U.S. Markets - Since Inauguration. https://t.co/fZuV7i6c1S,14,@FoxNews
-0.5574,Mon Jan 29 04:55:05 +0000 2018,0.769,0.231,0.0,"On ""Cavuto Live,"" Ben Stein had a blunt take on illegal immigration. https://t.co/ovThKTlfXr https://t.co/CXtTPhikEu",15,@FoxNews
0.0,Mon Jan 29 04:55:03 +0000 2018,1.0,0.0,0.0,".@Varneyco: ""When I hear people label our country as 'racist,' I actually take it personally. In my family there ar… https://t.co/KLSrkxicAq",16,@FoxNews
-0.0516,Mon Jan 29 04:52:03 +0000 2018,0.538,0.271,0.192,".@GovMikeHuckabee: ""If this were about DACA, Chuck Schumer would've cried but he would've cried tears of delight an… https://t.co/Yu7KkhyOIy",17,@FoxNews
0.0,Mon Jan 29 04:46:00 +0000 2018,1.0,0.0,0.0,"#GRAMMYs 2018 take on #Trump, DACA and gender equality as Bruno Mars takes home Album of the Year https://t.co/077jAzHDBz",18,@FoxNews
-0.4767,Mon Jan 29 04:41:00 +0000 2018,0.693,0.307,0.0,"Afghanistan military school under attack, reports say https://t.co/HBQbRyjgfd",19,@FoxNews
0.2023,Mon Jan 29 04:35:04 +0000 2018,0.769,0.093,0.137,"On @foxandfriends, @Varneyco slammed those accusing President @realDonaldTrump and those who agree with his immigra… https://t.co/GrCZKvWVU8",20,@FoxNews
0.7003,Mon Jan 29 06:05:00 +0000 2018,0.734,0.0,0.266,"U.S. Ambassador to the United Nations @nikkihaley slammed a pre-taped segment for the 60th Annual Grammy Awards, wh… https://t.co/eWHHtDvCGC",21,@FoxNews
0.0,Mon Jan 29 06:00:00 +0000 2018,0.574,0.213,0.213,How to protect your dog from the flu https://t.co/gwWPLQIN2E,22,@FoxNews
0.7003,Mon Jan 29 05:55:00 +0000 2018,0.52,0.164,0.316,Grammy winner Chris Stapleton talks Tom Petty tribute: 'We lost a lot of great artists this year' https://t.co/B5aMT0khkq,23,@FoxNews
0.0,Mon Jan 29 05:50:06 +0000 2018,1.0,0.0,0.0,".@Varneyco: ""Anybody who pays tax, federal income tax, their paychecks go up next week."" https://t.co/EDnXivg3cK",24,@FoxNews
0.0,Mon Jan 29 05:45:03 +0000 2018,1.0,0.0,0.0,".@hogangidley45 on immigration reform: ""Democrats had the House, they had the Senate and they had the White House u… https://t.co/bnIyYPfuUs",25,@FoxNews
-0.296,Mon Jan 29 05:40:02 +0000 2018,0.891,0.109,0.0,".@jasoninthehouse on immigration reform: ""There is no way that you can give the pathway to citizenship to Dreamers… https://t.co/eSfhiuYbMe",26,@FoxNews
0.3071,Mon Jan 29 05:35:03 +0000 2018,0.883,0.0,0.117,"""We come in peace, but we mean business."" Janelle Monae delivered this impassioned introduction to a performance of… https://t.co/pwKjWWiAys",27,@FoxNews
0.0,Mon Jan 29 05:30:06 +0000 2018,1.0,0.0,0.0,".@DiamondandSilk: ""Liberals - they're trying to use their influence and their power to... sway people to continue t… https://t.co/EDCG2QodXQ",28,@FoxNews
0.296,Mon Jan 29 05:25:05 +0000 2018,0.896,0.0,0.104,".@reba wore a white rose at the #GRAMMYs to show solidarity with the #MeToo movement and Time's Up, initiatives tha… https://t.co/X0m1fpw6SL",29,@FoxNews
0.0,Mon Jan 29 05:20:04 +0000 2018,1.0,0.0,0.0,".@AlexandraCSmith on FISA memo: ""If there has been misconduct, the American people should be aware of that to make… https://t.co/EAOCssYdBw",30,@FoxNews
0.0,Mon Jan 29 05:15:05 +0000 2018,1.0,0.0,0.0,".@CharlesHurt: ""This is absolutely the most centrist immigration plan we've... seen in 30+ years."" https://t.co/lNVQ9gxqkX",31,@FoxNews
-0.4019,Mon Jan 29 05:10:00 +0000 2018,0.764,0.236,0.0,"Country stars pay tribute to Las Vegas, Manchester shooting victims at #GRAMMYs 2018 https://t.co/IaDdAnVaTf",32,@FoxNews
0.0,Mon Jan 29 05:05:05 +0000 2018,1.0,0.0,0.0,".@madisongesiotto on @POTUS' trip to Davos: ""He's really kind of capitalized on the idea of running this government… https://t.co/yB5PB8mYvc",33,@FoxNews
0.0,Mon Jan 29 05:00:01 +0000 2018,1.0,0.0,0.0,U.S. Markets - Since Inauguration. https://t.co/fZuV7i6c1S,34,@FoxNews
-0.5574,Mon Jan 29 04:55:05 +0000 2018,0.769,0.231,0.0,"On ""Cavuto Live,"" Ben Stein had a blunt take on illegal immigration. https://t.co/ovThKTlfXr https://t.co/CXtTPhikEu",35,@FoxNews
0.0,Mon Jan 29 04:55:03 +0000 2018,1.0,0.0,0.0,".@Varneyco: ""When I hear people label our country as 'racist,' I actually take it personally. In my family there ar… https://t.co/KLSrkxicAq",36,@FoxNews
-0.0516,Mon Jan 29 04:52:03 +0000 2018,0.538,0.271,0.192,".@GovMikeHuckabee: ""If this were about DACA, Chuck Schumer would've cried but he would've cried tears of delight an… https://t.co/Yu7KkhyOIy",37,@FoxNews
0.0,Mon Jan 29 04:46:00 +0000 2018,1.0,0.0,0.0,"#GRAMMYs 2018 take on #Trump, DACA and gender equality as Bruno Mars takes home Album of the Year https://t.co/077jAzHDBz",38,@FoxNews
-0.4767,Mon Jan 29 04:41:00 +0000 2018,0.693,0.307,0.0,"Afghanistan military school under attack, reports say https://t.co/HBQbRyjgfd",39,@FoxNews
0.2023,Mon Jan 29 04:35:04 +0000 2018,0.769,0.093,0.137,"On @foxandfriends, @Varneyco slammed those accusing President @realDonaldTrump and those who agree with his immigra… https://t.co/GrCZKvWVU8",40,@FoxNews
-0.5574,Mon Jan 29 04:30:05 +0000 2018,0.69,0.31,0.0,RPT: Elephant Trophy Ban to Remain in Place https://t.co/aOmVEMw63z,41,@FoxNews
